Question 92: Expected 5 alternatives, found 3
Question 95: Found only 2 alternatives. Skipping question.
Question 99: Found only 1 alternatives. Skipping question.
Question 104: Expected 5 alternatives, found 4
Question 105: Found only 0 alternatives. Skipping question.
Question 108: Found only 1 alternatives. Skipping question.
Question 92: Found only 2 alternatives. Skipping question.
Question 110: Found only 1 alternatives. Skipping question.
Question 95: Expected 5 alternatives, found 4
Question 111: Found only 1 alternatives. Skipping question.
Question 98: Found only 1 alternatives. Skipping question.
Question 112: Found only 1 alternatives. Skipping question.
Question 102: Found only 0 alternatives. Skipping question.
Question 115: Found only 0 alternatives. Skipping question.
Question 105: Found only 1 alternatives. Skipping question.
Question 126: Found only 1 alternatives. Skipping question.
Question 107: Found only 1 alternatives. Skipping question.
Question 130: Found only 0 alternatives. Skipping question.
Question 108: Found only 1 alternatives. Skipping question.
Question 131: Found only 2 alternatives. Skipping question.
Question 109: Found only 1 alternatives. Skipping question.
Question 133: Found only 1 alternatives. Skipping question.
Question 111: Found only 1 alternatives. Skipping question.
Question 135: Found only 1 alternatives. Skipping question.
Question 115: Found only 0 alternatives. Skipping question.
Question 136: Found only 1 alternatives. Skipping question.
Question 99: Expected 5 alternatives, found 4
Question 116: Found only 2 alternatives. Skipping question.
Question 137: Found only 0 alternatives. Skipping question.
Question 100: Found only 0 alternatives. Skipping question.
Question 119: Found only 1 alternatives. Skipping question.
Question 138: Found only 1 alternatives. Skipping question.
Question 103: Found only 1 alternatives. Skipping question.
Question 121: Expected 5 alternatives, found 3
Question 91: Found only 1 alternatives. Skipping question.
Question 141: Found only 2 alternatives. Skipping question.
Question 105: Expected 5 alternatives, found 3
Question 95: Found only 1 alternatives. Skipping question.
Question 123: Found only 1 alternatives. Skipping question.
Question 142: Found only 1 alternatives. Skipping question.
Question 108: Found only 1 alternatives. Skipping question.
Question 96: Found only 1 alternatives. Skipping question.
Question 124: Expected 5 alternatives, found 4
Question 145: Found only 2 alternatives. Skipping question.
Question 109: Found only 0 alternatives. Skipping question.
Question 98: Found only 0 alternatives. Skipping question.
Question 125: Found only 0 alternatives. Skipping question.
Question 148: Found only 0 alternatives. Skipping question.
Question 110: Found only 2 alternatives. Skipping question.
Question 99: Found only 2 alternatives. Skipping question.
Question 136: Found only 0 alternatives. Skipping question.
Question 149: Found only 0 alternatives. Skipping question.
Question 112: Found only 1 alternatives. Skipping question.
Question 109: Expected 5 alternatives, found 4
Question 139: Found only 2 alternatives. Skipping question.
Question 151: Found only 1 alternatives. Skipping question.
Question 116: Found only 1 alternatives. Skipping question.
Question 110: Found only 0 alternatives. Skipping question.
Question 140: Found only 0 alternatives. Skipping question.
Question 152: Found only 1 alternatives. Skipping question.
